primary;category
beauty_salon;Others / Not sure
professional_services;Others / Not sure
community_services_non_profits;Social, Cultural
park;Recreational, Outdoors
restaurant;Social, Cultural
spas;Recreational, Outdoors
cafe;Social, Cultural
landmark_and_historical_building;Social, Cultural
gym;Recreational, Outdoors
hospital;Healthcare and Health
shopping;Shopping, Errands
bar;Social, Cultural
pizza_restaurant;Social, Cultural
automotive_repair;Shopping, Errands
clothing_store;Shopping, Errands
transportation;Others / Not sure
construction_services;Others / Not sure
grocery_store;Shopping, Errands
real_estate;Shopping, Errands
event_planning;Others / Not sure
school;Education
active_life;Recreational, Outdoors
barber;Others / Not sure
online_shop;Shopping, Errands
church_cathedral;Social, Cultural
software_development;Others / Not sure
health_and_medical;Healthcare and Health
day_care_preschool;Education
college_university;Education
elementary_school;Education
public_and_government_association;Social, Cultural
coffee_shop;Social, Cultural
hotel;Others / Not sure
furniture_store;Shopping, Errands
supermarket;Shopping, Errands
information_technology_company;Others / Not sure
education;Education
real_estate_agent;Shopping, Errands
flowers_and_gifts_shop;Shopping, Errands
sports_club_and_league;Recreational, Outdoors
topic_concert_venue;Social, Cultural
preschool;Education
advertising_agency;Others / Not sure
gas_station;Shopping, Errands
art_gallery;Social, Cultural
industrial_equipment;Others / Not sure
parking;Others / Not sure
beach;Recreational, Outdoors
accommodation;Others / Not sure
arts_and_entertainment;Social, Cultural
physical_therapy;Healthcare and Health
stadium_arena;Recreational, Outdoors
dentist;Healthcare and Health
jewelry_store;Shopping, Errands
women's_clothing_store;Shopping, Errands
auto_detailing;Shopping, Errands
religious_organization;Social, Cultural
beauty_and_spa;Recreational, Outdoors
theatre;Social, Cultural
atms;Shopping, Errands
retirement_home;Healthcare and Health
car_dealer;Shopping, Errands
accountant;Shopping, Errands
tattoo_and_piercing;Recreational, Outdoors
shopping_center;Shopping, Errands
pub;Social, Cultural
automotive;Shopping, Errands
pharmacy;Healthcare and Health
sporting_goods;Recreational, Outdoors
lawyer;Others / Not sure
dance_school;Social, Cultural
library;Social, Cultural
business_management_services;Others / Not sure
engineering_services;Others / Not sure
arts_and_crafts;Social, Cultural
attractions_and_activities;Social, Cultural
sushi_restaurant;Social, Cultural
home_cleaning;Others / Not sure
train_station;Others / Not sure
bakery;Shopping, Errands
fashion;Shopping, Errands
public_service_and_government;Others / Not sure
social_service_organizations;Social, Cultural
burger_restaurant;Social, Cultural
wholesale_store;Shopping, Errands
