day_type,hour,n_home,n_other,n_work,p_home,p_work,p_other
non_work_day,0,166190.0,73430.0,3988.0,0.6822025549243046,0.016370562543102034,0.30142688253259337
non_work_day,1,388158.0,128255.0,7393.0,0.7410338942280157,0.01411400403966354,0.24485210173232075
non_work_day,2,625054.0,210987.0,12018.0,0.7370407011776303,0.014171183844520251,0.24878811497784942
non_work_day,3,440509.0,155263.0,8847.0,0.7285728698568851,0.014632355251819742,0.25679477489129515
non_work_day,4,595320.0,237904.0,14891.0,0.7019331104861959,0.017557760445222642,0.2805091290685815
non_work_day,5,533986.0,225759.0,16242.0,0.6881378167417753,0.020930763015359795,0.2909314202428649
non_work_day,6,396491.0,182406.0,16235.0,0.6662236276994011,0.027279662327013166,0.3064967099735857
non_work_day,7,318025.0,184070.0,20702.0,0.6083145083081961,0.039598543985524016,0.35208694770627985
non_work_day,8,269260.0,194073.0,25951.0,0.5503143368677497,0.05303872597509831,0.3966469371571521
non_work_day,9,235511.0,222225.0,32777.0,0.4801320250431691,0.06682187831922905,0.45304609663760187
non_work_day,10,194771.0,254460.0,36600.0,0.4009027830665396,0.0753348386578872,0.5237623782755731
non_work_day,11,165074.0,295789.0,36958.0,0.33159308265420706,0.07423953589744105,0.5941673814483519
non_work_day,12,133657.0,333935.0,35018.0,0.2659258669743937,0.0696723105389865,0.6644018224866198
non_work_day,13,122755.0,363418.0,33563.0,0.23618721812612556,0.06457701602351963,0.6992357658503547
non_work_day,14,115330.0,378143.0,30963.0,0.2199124392680899,0.059040569297302246,0.7210469914346078
non_work_day,15,103884.0,354323.0,26574.0,0.21429057656962627,0.05481650477225799,0.7308929186581157
non_work_day,16,101090.0,328636.0,22947.0,0.22331793590516774,0.05069222153740117,0.725989842557431
non_work_day,17,102899.0,302396.0,19742.0,0.24209421767987258,0.04644772102193456,0.7114580612981929
non_work_day,18,99024.0,259628.0,16290.0,0.26410484821652414,0.04344671975932277,0.6924484320241531
non_work_day,19,94526.0,215254.0,13449.0,0.2924428191777347,0.04160827153504172,0.6659489092872236
non_work_day,20,86032.0,165805.0,10421.0,0.3280433771324421,0.03973568013177863,0.6322209427357792
non_work_day,21,71508.0,121294.0,7664.0,0.3567088683367753,0.03823092195185218,0.6050602097113725
non_work_day,22,60121.0,80026.0,4926.0,0.4144189477021913,0.033955319046273254,0.5516257332515354
non_work_day,23,36058.0,48530.0,2767.0,0.4127754564707229,0.031675347719077325,0.5555491958101998
work_day,0,501387.0,148080.0,9166.0,0.7612539912212112,0.01391670323230084,0.22482930554648795
work_day,1,1096866.0,253066.0,16677.0,0.8026187446445912,0.012203197842250418,0.1851780575131585
work_day,2,1848630.0,459637.0,26030.0,0.7919429275709132,0.011151108877747775,0.19690596355133902
work_day,3,1287036.0,337511.0,20198.0,0.7825140067305266,0.012280323089597476,0.2052056701798759
work_day,4,1765681.0,494699.0,37374.0,0.7684377875090197,0.01626544878172337,0.21529676370925696
work_day,5,1498543.0,496517.0,48322.0,0.7333640993216148,0.023648050144319564,0.24298785053406557
work_day,6,1079548.0,499505.0,72191.0,0.6537786057057589,0.043719159615417225,0.302502234678824
work_day,7,805855.0,748106.0,176588.0,0.46566436431444586,0.10204160644974514,0.432294029235809
work_day,8,629921.0,952371.0,386547.0,0.31994540945196637,0.19633245785968279,0.48372213268835085
work_day,9,494153.0,983904.0,699933.0,0.2268848800958682,0.32136648928599304,0.45174863061813875
work_day,10,371159.0,784497.0,1021948.0,0.17044375377708712,0.4692992849021218,0.3602569613207911
work_day,11,282732.0,694102.0,771747.0,0.16169225217476343,0.44135616251120197,0.3969515853140346
work_day,12,228205.0,649832.0,575111.0,0.15704181542416876,0.3957690476124937,0.4471891369633375
work_day,13,225029.0,635463.0,449548.0,0.17177261762999604,0.343155934169949,0.48507144820005493
work_day,14,249908.0,631094.0,364381.0,0.20066758579489202,0.2925854937798252,0.5067469204252828
work_day,15,280039.0,619545.0,276159.0,0.2381804527009729,0.23488041179067193,0.5269391355083551
work_day,16,324897.0,753473.0,119682.0,0.2711877280785809,0.09989716640012286,0.6289151055212963
work_day,17,357746.0,804189.0,80686.0,0.2878963094942062,0.06493210721531344,0.6471715832904804
work_day,18,343184.0,789449.0,58259.0,0.2881739066178965,0.048920473057170594,0.6629056203249329
work_day,19,320438.0,695824.0,44393.0,0.3021133167712404,0.04185432586467796,0.6560323573640816
work_day,20,289441.0,522179.0,31885.0,0.34314082311308175,0.03780060580553761,0.6190585710813806
work_day,21,248875.0,356597.0,22836.0,0.3961035033773245,0.03634523195630169,0.5675512646663738
work_day,22,198786.0,209910.0,14136.0,0.4701299807015552,0.033431717561584744,0.49643830173686004
work_day,23,116267.0,116669.0,7932.0,0.48270006808708504,0.03293089991198499,0.48436903200092996
