users_home_count,population
7,261
7,52
1,68
1,5
2,3
40,434
33,9
268,1481
4,161
3,11
1,21
1,148
2,58
379,2603
621,1777
1126,2214
7,262
5,3
185,2615
1722,6876
287,608
2,26
713,2947
94,470
4,5
150,2101
544,3393
1,85
3,18
203,416
13,21
7,12
13,192
1,15
28,54
314,2161
58,819
1,20
5,121
1,13
853,2807
2,49
2,22
392,2924
825,3158
44,460
372,3459
176,1304
104,290
1,9
273,681
3,210
3,16
61,28
60,625
209,245
227,724
2,113
209,585
2,124
5,56
99,657
56,855
884,2403
14,663
39,539
763,964
486,504
735,2911
3,78
2,4
885,5166
1,7
41,847
6,12
225,752
1,5
112,581
6,7
31,346
85,1038
2079,9981
40,214
362,2307
1,8
500,2935
1241,4298
1,34
172,1275
1,9
405,2740
139,723
1,13
282,1463
114,600
175,227
448,2269
278,1428
383,397
22,325
1,2
1,11
31,589
3,46
11,15
46,505
183,1165
142,1243
2,10
19,269
460,586
22,2
4,6
1,19
10,129
3,5
1,18
266,822
3,544
85,1081
2,19
1,15
2,23
125,767
443,1712
5,36
12,18
1,85
136,323
2,45
2,13
408,1333
5,24
219,746
769,3852
6,20
324,1544
340,861
3,4
1,10
207,189
748,5749
4,19
3,14
9,63
3,55
2,63
1,15
191,516
431,947
4,282
4,1
6,112
3,99
108,1241
179,473
1,79
1406,6125
27,202
439,2689
165,488
2035,13768
675,714
1162,7961
117,1352
97,31
48,294
634,946
101,409
190,613
1,121
116,4
14,15
1,29
117,94
1,14
1,348
14,25
34,5
1390,4659
11,45
36,315
16,81
11,305
8,12
14,443
750,3432
96,4
6,76
1372,3941
29,166
76,99
1,347
2,17
106,781
1,48
3,352
475,2635
38,49
259,373
8,98
1,5
1,6
187,1204
99,48
7,19
102,183
1053,1832
147,195
2,6
27,48
2010,6683
4,25
45,79
422,1016
178,1895
20,2
24,38
43,414
1,84
1,48
2,30
100,72
2,289
1097,1105
30,68
15,9
570,4447
1,11
266,1423
35,238
59,21
3,5
1,12
11,373
8,702
1,60
826,1807
9,44
8,35
32,401
281,677
21,63
30,3
19,96
966,1503
263,2486
2,221
206,2335
173,1294
4,49
1,10
99,61
1,10
10,51
1,3
1,45
54,17
4,32
97,541
1,29
159,955
467,1120
590,3730
68,1922
1279,8539
4,18
3,119
3,3
2,83
13,1
84,234
107,252
3,68
1,34
1,14
2,2
1,60
3,40
262,3248
6,145
79,12
4,68
68,740
54,30
9,487
1137,2660
53,37
186,748
10,4
1,25
28,245
11,48
264,1538
590,2048
438,1139
579,1783
1,3
2,36
46,185
4,122
232,689
1,42
660,2530
13,104
9,477
6,222
1100,3169
19,4
1,18
23,40
24,69
46,556
556,2464
1,42
1,153
449,2176
3,2
46,1009
1808,6485
1,31
337,893
102,362
6,458
